Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
shayari,7,8,1000000,49,0.40,https://eknazariya.com/,30000,53.54,12000.00,0.33,127,"82, 100, 82, 82, 82, 100, 100, 82, 82, 67, 67, 67",2026-08-20,"Image pack, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
hindi shayari,7,7,135000,43,0.40,https://eknazariya.com/,3375,6.02,1350.00,0.33,153,"55, 67, 67, 67, 67, 55, 67, 100, 100, 67, 45, 25",2026-08-14,"Image pack, Reviews, Video, Ads top, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
best shayari,4,4,33100,41,0.40,https://eknazariya.com/,1655,2.95,662.00,0.33,150,"82, 82, 82, 82, 82, 100, 100, 82, 82, 82, 67, 67",2026-08-18,"Reviews, Video, People also ask, Related searches, AI overview",commercial,Organic
shayri in hindi,5,5,27100,38,0.40,https://eknazariya.com/,1084,1.93,433.00,0.33,151,"37, 30, 30, 20, 45, 55, 24, 30, 100, 37, 37, 100",2026-08-16,"Reviews, Video, Image, People also ask, Related searches, AI overview","commercial, informational",Organic
gulzar 2 line,1,1,1900,18,0.00,https://eknazariya.com/gulzar-shayari-1,893,1.59,0.00,0.33,117,"4, 3, 13, 55, 20, 36, 66, 66, 100, 55, 36, 55",2026-07-10,"Image pack, Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
best shayari in hindi,5,5,22200,33,0.40,https://eknazariya.com/,888,1.58,355.00,0.01,152,"67, 67, 67, 67, 67, 82, 100, 100, 82, 82, 55, 55",2026-08-12,"Image pack, Reviews, Video, People also ask, Related searches",commercial,Organic
ishq shayari,2,2,6600,9,0.40,https://eknazariya.com/ishq-shayari,858,1.53,343.00,0.33,142,"100, 100, 100, 81, 81, 81, 100, 100, 81, 81, 81, 67",2026-06-24,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related searches",informational,Organic
sad shayari,14,14,550000,35,0.40,https://eknazariya.com/best-sad-shayari,825,1.47,330.00,0.33,120,"100, 100, 82, 82, 82, 82, 100, 100, 82, 82, 67, 45",2026-08-16,"Image pack, Sitelinks, Reviews, Video, Image, Ads top, Ads bottom, People also ask, Related searches, Short videos",informational,Organic
shayari hashtags,1,1,1600,22,0.00,https://eknazariya.com/hashtags-%23shayri,752,1.34,0.00,0.33,112,"100, 100, 79, 79, 79, 79, 67, 42, 37, 30, 25, 25",2026-07-25,"Image pack, Video, Image, Related searches",commercial,Organic
ishq shayari hindi,2,2,5400,8,0.40,https://eknazariya.com/ishq-shayari,702,1.25,280.00,0.33,129,"100, 100, 100, 100, 82, 82, 100, 100, 82, 67, 67, 55",2026-06-26,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related searches",informational,Organic
ishq shayari in hindi,2,2,5400,10,0.40,https://eknazariya.com/ishq-shayari,702,1.25,280.00,0.33,126,"100, 100, 100, 100, 82, 82, 100, 100, 82, 67, 67, 29",2026-06-26,"Image pack, Reviews, Video, People also ask, Related searches",informational,Organic
best shayri,3,3,6600,30,0.40,https://eknazariya.com/,594,1.06,237.00,0.33,130,"100, 100, 81, 100, 81, 100, 81, 81, 81, 81, 23, 23",2026-08-02,"Image pack, Reviews, Video, Image, Related searches",commercial,Organic
gulzar poetry two lines,5,5,14800,30,0.00,https://eknazariya.com/gulzar-shayari-1,592,1.05,0.00,0.33,156,"4, 16, 82, 24, 45, 82, 67, 100, 55, 67, 82, 55",2026-08-19,"Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
gulzar love shayari in hindi,7,9,14800,23,0.00,https://eknazariya.com/gulzar-shayari-1,444,0.79,0.00,0.33,141,"82, 82, 82, 45, 36, 82, 100, 82, 67, 55, 55, 55",2026-08-20,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related searches, AI overview",informational,Organic
new shayari,9,9,14800,43,0.40,https://eknazariya.com/,370,0.66,148.00,0.33,121,"67, 67, 67, 67, 67, 100, 100, 67, 67, 67, 67, 67",2026-08-13,"Sitelinks, Reviews, Video, Image, People also ask, Related searches, AI overview",informational,Organic
urdu shayari in hindi,9,9,14800,33,0.40,https://eknazariya.com/,370,0.66,148.00,0.33,141,"67, 82, 82, 82, 82, 82, 100, 82, 67, 67, 55, 55",2026-08-14,"Knowledge panel, Image pack, Reviews, Video, Image, People also ask, Related searches","informational, transactional",Organic
amazing shayari,5,5,8100,43,0.00,https://eknazariya.com/,324,0.57,0.00,0.33,145,"5, 13, 45, 82, 82, 82, 100, 100, 82, 100, 1, 1",2026-07-12,"Image pack, Reviews, Video, Image, People also ask, Related searches",informational,Organic
gulzar two liners,1,1,2400,27,0.00,https://eknazariya.com/gulzar-shayari-1,312,0.55,0.00,0.33,185,"2, 6, 15, 44, 24, 29, 55, 44, 44, 36, 82, 100",2026-06-28,"Image pack, Reviews, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
gulzar two line,1,1,2400,22,0.00,https://eknazariya.com/gulzar-shayari-1,312,0.55,0.00,0.33,121,"2, 6, 15, 44, 24, 29, 55, 44, 44, 36, 82, 100",2026-06-28,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
ghalib shayari,7,7,9900,33,0.20,https://eknazariya.com/ghalib-shayari,247,0.44,49.00,0.01,144,"100, 100, 100, 82, 100, 100, 82, 82, 67, 67, 30, 30",2026-08-12,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, Ads top, People also ask, Related searches, AI overview",informational,Organic
ek shayari,4,4,4400,34,0.40,https://eknazariya.com/,220,0.39,88.00,0.33,145,"67, 67, 81, 67, 67, 100, 100, 81, 81, 81, 81, 81",2026-07-22,"Image pack, Reviews, Video, Video Carousel, People also ask, Related searches",informational,Organic
hindi sher shayari,5,5,5400,30,0.40,https://eknazariya.com/,216,0.38,86.00,0.33,80,"82, 82, 100, 100, 100, 100, 100, 82, 82, 82, 67, 67",2026-07-20,"Image pack, Reviews, Video, Image, People also ask, Related searches",informational,Organic
sher shayari,7,7,22200,24,0.09,https://eknazariya.com/,199,0.35,17.00,0.33,143,"100, 100, 100, 82, 67, 67, 67, 45, 45, 45, 45, 37",2026-08-12,"Image pack, Reviews, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
gulzar shayari on love in hindi,8,9,14800,23,0.00,https://eknazariya.com/gulzar-shayari-1,192,0.34,0.00,0.33,139,"82, 82, 82, 45, 36, 82, 100, 82, 67, 55, 55, 55",2026-08-20,"Image pack, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
new hindi shayari,5,10,4400,52,0.40,https://eknazariya.com/,176,0.31,70.00,0.33,152,"67, 67, 55, 55, 67, 100, 82, 67, 55, 55, 55, 44",2026-08-20,"Image pack, Reviews, Video, Image, People also ask, Related searches",informational,Organic
gulzar 2 liners,2,2,1900,19,0.00,https://eknazariya.com/gulzar-shayari-1,171,0.3,0.00,0.33,182,"4, 3, 13, 55, 20, 36, 66, 66, 100, 55, 36, 55",2026-06-26,"Image pack, Reviews, Video, Video Carousel, Related searches",informational,Organic
sad shayri,9,9,6600,27,0.40,https://eknazariya.com/best-sad-shayari,165,0.29,66.00,0.33,120,"67, 67, 67, 67, 67, 55, 55, 55, 55, 67, 67, 100",2026-07-30,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
sher shayari in hindi,5,5,5400,30,0.40,https://eknazariya.com/,162,0.28,64.00,0.33,81,"82, 82, 100, 100, 100, 100, 100, 82, 82, 82, 67, 67",2026-07-20,"Image pack, Reviews, Featured snippet, Image, People also ask, Related searches",informational,Organic
one line gulzar shayari,6,6,5400,29,0.00,https://eknazariya.com/gulzar-shayari-1,162,0.28,0.00,0.33,135,"54, 54, 67, 100, 81, 81, 67, 67, 67, 81, 67, 67",2026-07-22,"Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,Organic
shayari tag,1,1,320,20,0.00,https://eknazariya.com/hashtags-%23shayri,150,0.26,0.00,0.33,107,"100, 81, 100, 81, 81, 100, 81, 67, 67, 23, 35, 23",2026-08-10,"Video, Related searches, AI overview",informational,Organic
mirza ghalib shayari in hindi,4,4,2900,36,0.40,https://eknazariya.com/ghalib-shayari,145,0.25,58.00,0.01,146,"66, 82, 100, 82, 66, 82, 100, 82, 82, 55, 66, 16",2026-07-13,"Image pack, Sitelinks, Reviews, Video, Image, Ads top, Video Carousel, People also ask, Related searches, Ads middle",informational,Organic
