Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
english shayari,3,4,12100,20,0.40,https://englishshyari.com/,605,11.26,242.00,0.33,116,"100, 100, 100, 100, 82, 82, 100, 100, 100, 67, 24, 100",2026-08-20,"Image pack, Video, People also ask, Related searches",informational,Organic
hindi shayari in english,8,8,18100,13,0.40,https://englishshyari.com/hindi-shayari-in-english/,543,10.11,217.00,0.33,122,"82, 82, 82, 82, 82, 100, 100, 82, 82, 67, 55, 55",2026-08-18,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
sad shayari in english,1,1,49500,13,0.40,https://englishshyari.com/,449,8.36,179.00,0.33,91,"100, 100, 82, 82, 82, 100, 100, 82, 82, 82, 37, 37",2026-08-18,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview
shayari in english,9,9,60500,13,0.40,https://englishshyari.com/,423,7.87,169.00,0.33,103,"100, 100, 100, 100, 100, 100, 100, 82, 82, 82, 37, 30",2026-08-17,"Video, Image, People also ask, Related searches, AI overview",commercial,Organic
long shayari in english,5,6,9900,13,0.00,https://englishshyari.com/,396,7.37,0.00,0.33,98,"3, 13, 20, 20, 20, 30, 20, 30, 30, 82, 82, 100",2026-08-20,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
english me shayari,4,11,8100,33,0.26,https://englishshyari.com/,324,6.03,84.00,0,118,"55, 67, 55, 67, 55, 67, 82, 82, 82, 82, 100, 100",2026-08-20,"Image pack, Video, People also ask, Related searches, AI overview",informational,Organic
english mein shayari,3,3,5400,19,0.40,https://englishshyari.com/,270,5.02,108.00,0.33,77,"82, 100, 100, 100, 82, 82, 100, 100, 82, 82, 82, 82",2026-07-18,"Image pack, Video, People also ask, Related searches, AI overview",informational,Organic
english shayari attitude,6,6,5400,10,0.00,https://englishshyari.com/,216,4.02,0.00,0.33,111,"82, 82, 82, 67, 67, 82, 100, 82, 67, 82, 67, 67",2026-07-13,"Image pack, Sitelinks, Video, Related searches",informational,Organic
shayari in hindi english words,3,3,1900,3,0.00,https://englishshyari.com/hindi-shayari-in-english/,95,1.76,0.00,0.33,121,"11, 17, 55, 83, 83, 83, 100, 100, 100, 100, 34, 34",2026-07-13,"Image pack, Sitelinks, Reviews, Video, Image, Related searches, AI overview",informational,Organic
shayari in english,23,23,60500,13,0.40,https://englishshyari.com/,90,1.67,36.00,0.33,103,"100, 100, 100, 100, 100, 100, 100, 82, 82, 82, 37, 30",2026-08-17,"Video, Image, People also ask, Related searches, AI overview",commercial,Organic
image shayari in english,9,9,3600,32,0.00,https://englishshyari.com/,90,1.67,0.00,0.33,134,"1, 3, 11, 20, 20, 16, 20, 24, 24, 36, 82, 100",2026-06-29,"Image pack, Video, People also ask, Related searches",informational,Organic
hindi shayari in english new,6,6,1900,8,0.00,https://englishshyari.com/,76,1.41,0.00,0,117,"1, 6, 30, 43, 55, 55, 66, 82, 82, 100, 0, 0",2026-06-30,"Sitelinks, Video, Related searches, AI overview",informational,Organic
hindi shayari in english words,4,4,1900,11,0.00,https://englishshyari.com/hindi-shayari-in-english/,76,1.41,0.00,0.33,130,"20, 53, 67, 81, 67, 67, 100, 81, 100, 13, 16, 13",2026-08-15,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
english shayari on life 2 lines,9,9,2900,5,0.00,https://englishshyari.com/,72,1.34,0.00,0.33,89,"81, 67, 67, 81, 100, 100, 100, 67, 53, 67, 81, 67",2026-08-04,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
shayari english,8,8,5400,18,0.40,https://englishshyari.com/,70,1.3,28.00,0.33,118,"82, 82, 82, 100, 100, 82, 82, 100, 100, 82, 82, 82",2026-08-07,"Image pack, Video, Video Carousel, Related searches",informational,Organic
attitude english shayari,4,4,1300,7,0.00,https://englishshyari.com/,65,1.21,0.00,0.33,105,"100, 100, 81, 100, 81, 100, 100, 81, 81, 62, 81, 62",2026-08-10,"Image pack, Video, Related searches, AI overview",informational,Organic
english shayari photo,5,5,1300,15,0.00,https://englishshyari.com/,52,0.96,0.00,0.33,128,"30, 34, 34, 34, 34, 45, 45, 45, 34, 55, 100, 100",2026-06-29,"Image pack, Video, People also ask, Related searches",informational,Organic
shayari in english letter,6,6,1300,10,0.00,https://englishshyari.com/,52,0.96,0.00,0.33,76,"2, 3, 11, 20, 24, 24, 24, 28, 36, 44, 100, 100",2026-07-19,"Image pack, Related searches",informational,Organic
short shayari in english,3,3,1300,13,0.00,https://englishshyari.com/,52,0.96,0.00,0.33,104,"68, 84, 68, 84, 84, 84, 100, 84, 84, 53, 25, 17",2026-08-09,"Image pack, Video, Ads top, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
attitude shayari in english 2 line,6,0,1600,4,0.00,https://englishshyari.com/,48,0.89,0.00,0.33,100,"55, 100, 100, 66, 45, 45, 45, 30, 30, 25, 30, 30",2026-08-19,"Image pack, Video, Image, Related searches, AI overview",informational,Organic
shayari english hindi,7,7,1600,4,0.32,https://englishshyari.com/,48,0.89,15.00,0,129,"84, 68, 68, 68, 68, 68, 68, 68, 84, 84, 100, 100",2026-07-25,"Image pack, Sitelinks, Video, Video Carousel, Related searches",informational,Organic
hindi shero shayari in english,6,6,1600,12,0.00,https://englishshyari.com/,48,0.89,0.00,0.33,118,"1, 9, 28, 67, 67, 67, 81, 81, 81, 100, 0, 1",2026-06-30,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
indian shayari in english,8,8,1900,6,0.00,https://englishshyari.com/,47,0.87,0.00,0.33,105,"1, 3, 11, 20, 20, 20, 24, 24, 24, 29, 100, 82",2026-07-11,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
image shayari english,1,1,720,29,0.00,https://englishshyari.com/,47,0.87,0.00,0.33,133,"1, 2, 6, 13, 11, 9, 17, 13, 13, 30, 100, 83",2026-07-11,"Image pack, Video, People also ask, Related searches, AI overview","informational, navigational",AI overview
hindi shayari in english letters,10,10,2900,11,0.00,https://englishshyari.com/hindi-shayari-in-english/,37,0.68,0.00,0.33,101,"0, 1, 5, 7, 9, 9, 16, 29, 36, 44, 100, 100",2026-07-10,"Image pack, Sitelinks, Reviews, Video, Related searches",informational,Organic
shayari pic english,10,10,2900,28,0.00,https://englishshyari.com/,37,0.68,0.00,0.33,130,"1, 3, 12, 23, 20, 20, 20, 30, 67, 81, 100, 100",2026-06-29,"Image pack, Video, Related searches",informational,Organic
hindi shayari written in english,7,7,1000,3,0.00,https://englishshyari.com/hindi-shayari-in-english/,30,0.55,0.00,0.33,124,"6, 9, 13, 13, 17, 20, 25, 25, 34, 100, 100, 100",2026-08-02,"Image pack, Sitelinks, Video, Related searches",informational,Organic
shayari hindi and english,6,6,1000,6,0.00,https://englishshyari.com/,30,0.55,0.00,0,116,"100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 88, 100",2026-06-28,"Image pack, Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
life shayari in english,3,3,14800,7,0.40,https://englishshyari.com/,28,0.52,11.00,0.33,93,"100, 100, 82, 67, 67, 67, 67, 55, 55, 55, 45, 45",2026-08-13,"Video, People also ask, Related searches, AI overview",commercial,AI overview
english shayari wallpaper,2,2,320,32,0.00,https://englishshyari.com/,28,0.52,0.00,0.33,81,"82, 82, 82, 67, 100, 82, 67, 67, 67, 67, 67, 67",2026-07-20,"Image pack, Video, Related searches","informational, transactional",Organic
hindi shayari in english,22,22,18100,13,0.40,https://englishshyari.com/,27,0.5,10.00,0.33,122,"82, 82, 82, 82, 82, 100, 100, 82, 82, 67, 55, 55",2026-08-18,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
sad shayari in english 2 lines,12,12,5400,5,0.00,https://englishshyari.com/,27,0.5,0.00,0.33,86,"67, 82, 82, 82, 82, 100, 100, 82, 67, 67, 67, 67",2026-08-11,"Video, People also ask, Related searches, AI overview",informational,Organic
